date,open,high,low,close,volume,,
2014-08-12,886.21,886.21,886.21,886.21,0,mandg.co.uk,
2014-08-11,887.8,887.8,887.8,887.8,0,mandg.co.uk,
2014-08-08,886.5,886.5,886.5,886.5,0,mandg.co.uk,
2014-08-07,882.08,882.08,882.08,882.08,0,mandg.co.uk,
2014-08-06,882.02,882.02,882.02,882.02,0,mandg.co.uk,
2014-08-05,878.2,878.2,878.2,878.2,0,mandg.co.uk,
2014-08-04,882.63,882.63,882.63,882.63,0,mandg.co.uk,
2014-08-01,881.08,881.08,881.08,881.08,0,mandg.co.uk,
2014-07-31,878.43,878.43,878.43,878.43,0,mandg.co.uk,
2014-07-30,876.2,876.2,876.2,876.2,0,mandg.co.uk,
2014-07-29,875.81,875.81,875.81,875.81,0,mandg.co.uk,
2014-07-28,872.97,872.97,872.97,872.97,0,mandg.co.uk,
2014-07-25,872.93,872.93,872.93,872.93,0,mandg.co.uk,
2014-07-24,871.05,871.05,871.05,871.05,0,mandg.co.uk,
2014-07-23,869.32,869.32,869.32,869.32,0,mandg.co.uk,
2014-07-22,868.34,868.34,868.34,868.34,0,mandg.co.uk,
2014-07-21,869.16,869.16,869.16,869.16,0,mandg.co.uk,
2014-07-18,869.16,869.16,869.16,869.16,0,mandg.co.uk,
2014-07-17,867.13,867.13,867.13,867.13,0,mandg.co.uk,
2014-07-16,863.5,863.5,863.5,863.5,0,mandg.co.uk,
2014-07-15,863.6,863.6,863.6,863.6,0,mandg.co.uk,
2014-07-14,866.15,866.15,866.15,866.15,0,mandg.co.uk,
2014-07-11,864.58,864.58,864.58,864.58,0,mandg.co.uk,
2014-07-10,866.37,866.37,866.37,866.37,0,mandg.co.uk,
2014-07-09,865.32,865.32,865.32,865.32,0,mandg.co.uk,
2014-07-08,864.36,864.36,864.36,864.36,0,mandg.co.uk,
2014-07-07,864.38,864.38,864.38,864.38,0,mandg.co.uk,
2014-07-04,862.1,862.1,862.1,862.1,0,mandg.co.uk,
2014-07-03,863.44,863.44,863.44,863.44,0,mandg.co.uk,
2014-07-02,863.86,863.86,863.86,863.86,0,mandg.co.uk,
2014-07-01,865.32,865.32,865.32,865.32,0,mandg.co.uk,
2014-06-30,868.93,868.93,868.93,868.93,0,mandg.co.uk,
2014-06-27,866.7,866.7,866.7,866.7,0,mandg.co.uk,
2014-06-26,866.86,866.86,866.86,866.86,0,mandg.co.uk,
2014-06-25,869.41,869.41,869.41,869.41,0,mandg.co.uk,
2014-06-24,867.78,867.78,867.78,867.78,0,mandg.co.uk,
2014-06-23,866.11,866.11,866.11,866.11,0,mandg.co.uk,
2014-06-20,865.37,865.37,865.37,865.37,0,mandg.co.uk,
2014-06-19,867.9,867.9,867.9,867.9,0,mandg.co.uk,
2014-06-18,871.2,871.2,871.2,871.2,0,mandg.co.uk,
2014-06-17,868.95,868.95,868.95,868.95,0,mandg.co.uk,
2014-06-16,868.95,868.95,868.95,868.95,0,mandg.co.uk,
2014-06-13,869.22,869.22,869.22,869.22,0,mandg.co.uk,
2014-06-12,873.77,873.77,873.77,873.77,0,mandg.co.uk,
2014-06-11,876.68,876.68,876.68,876.68,0,mandg.co.uk,
2014-06-10,877.59,877.59,877.59,877.59,0,mandg.co.uk,
2014-06-09,879.06,879.06,879.06,879.06,0,mandg.co.uk,
2014-06-06,879.09,879.09,879.09,879.09,0,mandg.co.uk,
2014-06-05,880.22,880.22,880.22,880.22,0,mandg.co.uk,
2014-06-04,882.51,882.51,882.51,882.51,0,mandg.co.uk,
2014-06-03,882.06,882.06,882.06,882.06,0,mandg.co.uk,
2014-06-02,881.77,881.77,881.77,881.77,0,mandg.co.uk,
2014-05-30,881.58,881.58,881.58,881.58,0,mandg.co.uk,
2014-05-29,882.97,882.97,882.97,882.97,0,mandg.co.uk,
2014-05-28,881.48,881.48,881.48,881.48,0,mandg.co.uk,
2014-05-27,876.83,876.83,876.83,876.83,0,mandg.co.uk,
2014-05-23,873.55,873.55,873.55,873.55,0,mandg.co.uk,
2014-05-22,874.01,874.01,874.01,874.01,0,mandg.co.uk,
2014-05-21,873.78,873.78,873.78,873.78,0,mandg.co.uk,
2014-05-20,877.94,877.94,877.94,877.94,0,mandg.co.uk,
2014-05-19,879.3,879.3,879.3,879.3,0,mandg.co.uk,
